Week,Taylor Swift: (United States),Travis Kelce,Kansas City Chiefs
9/25/2022,10,1,21
10/2/2022,11,2,30
10/9/2022,11,4,38
10/16/2022,44,2,28
10/23/2022,38,2,23
10/30/2022,51,1,12
11/6/2022,29,2,29
11/13/2022,97,1,19
11/20/2022,33,3,26
11/27/2022,19,2,20
12/4/2022,18,2,22
12/11/2022,17,1,20
12/18/2022,14,2,29
12/25/2022,16,1,11
1/1/2023,16,1,30
1/8/2023,14,1,16
1/15/2023,14,3,40
1/22/2023,15,5,42
1/29/2023,15,22,100
2/5/2023,23,8,21
2/12/2023,14,42,84
2/19/2023,13,3,6
2/26/2023,14,2,5
3/5/2023,16,5,5
3/12/2023,33,1,7
3/19/2023,44,1,5
3/26/2023,34,1,4
4/2/2023,33,2,4
4/9/2023,52,1,3
4/16/2023,38,1,3
4/23/2023,37,2,7
4/30/2023,46,1,5
5/7/2023,58,1,6
5/14/2023,53,1,3
5/21/2023,55,1,3
5/28/2023,52,1,3
6/4/2023,50,1,4
6/11/2023,41,1,4
6/18/2023,40,1,3
6/25/2023,44,2,3
7/2/2023,65,1,3
7/9/2023,56,1,4
7/16/2023,41,1,5
7/23/2023,44,3,5
7/30/2023,63,2,5
8/6/2023,82,1,7
8/13/2023,43,2,13
8/20/2023,34,2,14
8/27/2023,38,2,11
9/3/2023,34,27,59
9/10/2023,45,21,13
9/17/2023,79,23,23
9/24/2023,100,100,38
